,BEI_companyName,BEI_Cohort,BEI_Address,BEI_City,BEI_State,BEI_Zip,BEI_yearEstablished,BEI_NAICSCode,BEI_Sector,BEI_numberOfEmployees,BEI_execName,BEI_execTitle,BEI_execEth,BEI_revenue,BEI_Sustained Revenues >$800K,BEI_Website,BEI_phone,BEI_Strong Leadership and Willing to ready to grow,BEI_Demonstrated Proven Business Model,"BEI_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MBE_Cohort,MBE_Address,MBE_City,MBE_State,MBE_Zip,MBE_yearEstablished,MBE_NAICSCode,MBE_Sector,MBE_numberOfEmployees,MBE_execName,MBE_execTitle,MBE_execEth,MBE_revenue,MBE_Sustained Revenues >$800K,MBE_Website,MBE_phone,MBE_Strong Leadership and Willing to ready to grow,MBE_Demonstrated Proven Business Model,MBE_referenceUSA_indicator,referenceUSA_companyName,"MBE_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MVCF_Address,MVCF_City,MVCF_State,MVCF_Zip,MVCF_yearEstablished,MVCF_NAICSCode,MVCF_Sector,MVCF_numberOfEmployees,MVCF_execName,MVCF_execTitle,MVCF_execEth,MVCF_revenue,MVCF_Sustained Revenues >$800K,MVCF_Website,MVCF_phone,MVCF_Strong Leadership and Willing to ready to grow,MVCF_Demonstrated Proven Business Model,"MVCF_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",NAIC_Address,NAIC_City,NAIC_State,NAIC_Zip,NAIC_yearEstablished,NAIC_NAICSCode,NAIC_sector,NAIC_numberOfEmployees,NAIC_execName,NAIC_execTitle,NAIC_execEth,NAIC_revenue,NAIC_Sustained Revenues >$800K,NAIC_Website,NAIC_phone,NAIC_Strong Leadership and Willing to ready to grow,NAIC_Demonstrated Proven Business Model,"NAIC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",USBC_companyAddress,USBC_City,USBC_State,USBC_Zip,USBC_yearEstablished,USBC_NAICCode,USBC_sector,USBC_numberOfEmployees,USBC_execName,USBC_execTitle,USBC_executiveRace,USBC_revenue,USBC_Sustained Revenues >$800K,USBC_Website,USBC_phone,USBC_Strong Leadership and Willing to ready to grow,USBC_Demonstrated Proven Business Model,"USBC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",RefUSA_address,RefUSA_City,RefUSA_State,RefUSA_Zip,RefUSA_yearEstablished,RefUSA_NAICSCode,RefUSA_sector,RefUSA_numberOfEmployees,RefUSA_execName,RefUSA_execTitle,RefUSA_execEth,RefUSA_revenue,RefUSA_Sustained Revenues >$800K,RefUSA_Website,RefUSA_phone,RefUSA_Strong Leadership and Willing to ready to grow,RefUSA_Demonstrated Proven Business Model,"RefUSA_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",Name,Ethnicity
1016,American Commercial Rl Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 Brush Hill Rd Sherborn,,MA,1770.0, NA,531210.0,,5,Dusty Burke,owner,African American,"$680,000.00",,,(508) 655-5423,,,,Dusty Burke,African American
1017,American Corporate Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628 Trapelo Rd Belmont,,MA,2478.0, NA,541612.0,,5_9,Ahmed A Taha,"president, treasurer, board member",African American,"$972,000.00",,,,,,,Ahmed A Taha,African American
1067,Amesbury Children's Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 California St Amesbury,,MA,1913.0,2016,711110.0,,10_19,Derek Balaam,owner,African American,"$1,295,000.00",,,,,,,Derek Balaam,African American
1119,Andri Cleaning Svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 Everett Ave # 2 Somerville,,MA,2145.0,2007,238990.0,,5_9,Gilson Lorenco,owner,African American,"$546,000.00",,,(617) 651-5918,,,,Gilson Lorenco,African American
1178,Anvil Steel Engineering Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256 Prospect Hill St Taunton,,MA,2780.0, NA,541330.0,,5_9,Lamont Davis,"president, treasurer, board member",African American,"$1,485,000.00",,,,,,,Lamont Davis,African American
1181,Anze Global Logistics & Shppng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 Harrison St Roslindale,,MA,2131.0, NA,541611.0,,10_19,Anselm K Nwankwo,"president, treasurer, board member",African American,"$3,624,000.00",,,,,,,Anselm K Nwankwo,African American
1234,Arc Care At Home Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440 Pleasant St # B Malden,,MA,2148.0,2016,621610.0,,10_19,Charles T Mwangi,"ceo, president, treasurer, board member",African American,"$880,000.00",,,,,,,Charles T Mwangi,African American
1341,Artistry Management Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 Edwin St # 1 Dorchester,,MA,2124.0,2016,561110.0,,5_9,Ebony Stallings,owner,African American,"$1,363,000.00",,,,,,,Ebony Stallings,African American
1456,Attleboro Locksmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123 County St Attleboro,,MA,2703.0, NA,423710.0,,5_9,Lionel Reynolds,owner,African American,"$6,766,000.00",,,(508) 342-5053,,,,Lionel Reynolds,African American
1747,Awakening Excellence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208a Vfw Pkwy West Roxbury,,MA,2132.0, NA,812112.0,,5_9,Emmanuelle Renelique,owner,African American,"$509,000.00",,,(617) 942-8664,,,,Emmanuelle Renelique,African American
3100,Banka General Staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Littleton Rd # 2 Ayer,,MA,1432.0, NA,541612.0,,3,Baraka Bitariho,owner,African American,"$528,000.00",,,(978) 391-4210,,,,Baraka Bitariho,African American
3137,Bankole Logistics Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 Robbins St Lowell,,MA,1851.0,2016,541611.0,,10_19,Bankole Ayo Ogunde,"ceo, president, vice president, cfo, treasurer, board member",African American,"$2,110,000.00",,,,,,,Bankole Ayo Ogunde,African American
3211,Bay Sails Marine Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568 State Hwy Rte 6 Wellfleet,,MA,2667.0,1970,441222.0,,15,Lyle Butts,owner,African American,"$8,359,000.00",,,(508) 349-3840,,,,Lyle Butts,African American
3221,Bay State Medical Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207 Bedford St # 11 Lakeville,,MA,2347.0, NA,423450.0,,2,Ene Inyang,owner,African American,"$2,236,000.00",,,(508) 427-5772,,,,Ene Inyang,African American
3229,Bay States Best Hm Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485 Massachusetts Ave Cambridge,,MA,2139.0,2016,621610.0,,10_19,Obinna S Nwosu,"president, treasurer, board member",African American,"$880,000.00",,,,,,,Obinna S Nwosu,African American
3254,Baystate Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Cherry Tree Ln Foxboro,,MA,2035.0, NA,423990.0,,2,Osei T Poku,"owner, president, board member",African American,"$1,872,000.00",,,(781) 760-4747,,,,Osei T Poku,African American
3495,Beaton Management Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 Summer St Haverhill,,MA,1830.0, NA,523930.0,,4,Terrence Beaton,owner,African American,"$1,298,000.00",,,(978) 372-3008,,,,Terrence Beaton,African American
3522,Bel Mar Travel Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333 Blue Hill Ave # 1 Mattapan,,MA,2126.0, NA,561510.0,,2,Marlene Belizaire,owner,African American,"$538,000.00",,,(617) 298-6896,,,,Marlene Belizaire,African American
3625,Bernard M Sullivan Ins Agcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 Market St Ipswich,,MA,1938.0, NA,524210.0,,4,Jeremiah Lewis,owner,African American,"$647,000.00",,,(978) 356-5511,,,,Jeremiah Lewis,African American
3729,Better Life At Home Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292 Salem St Revere,,MA,2151.0,2016,621610.0,,10_19,Maxwell Opara,"president, treasurer",African American,"$718,000.00",,,,,,,Maxwell Opara,African American
3817,Black Point Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Faneuil Hall Market Pl Boston,,MA,2109.0, NA,561110.0,,2,Dorsey Gardner,owner,African American,"$546,000.00",,,(617) 973-6420,,,,Dorsey Gardner,African American
3839,Bloo Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621 Grattan St Chicopee,,MA,1020.0, NA,811212.0,,6,Jeremiah Beaudry,owner,African American,"$858,000.00",,,(413) 536-5044,,,,Jeremiah Beaudry,African American
3860,Blue Nile Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389 Centre St Jamaica Plain,,MA,2130.0, NA,722511.0,,5_9,Yosef Haile,"president, treasurer, board member",African American,"$598,000.00",,,(617) 522-6453,,,,Yosef Haile,African American
3867,Bluerock Therapeutics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Broadway # 15 Cambridge,,MA,2142.0,2016,621511.0,,10_19,Emile Nuwaysir,"ceo, president",African American,"$3,096,000.00",,,,,,,Emile Nuwaysir,African American
3905,Bonguard Orthopedic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999 N Main St # 3 Randolph,,MA,2368.0, NA,446199.0,,5,Olarewaju J Oladipo,"ceo, president, cfo, treasurer, board member",African American,"$725,000.00",,,(781) 961-6784,,,,Olarewaju J Oladipo,African American
3915,Borash Veterinary Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Prospect St Peabody,,MA,1960.0,1979,541940.0,,10,Myles Borash,owner,African American,"$1,026,000.00",,,(978) 531-8713,,,,Myles Borash,African American
3980,Boston Clinical Laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764 Main St # A Waltham,,MA,2451.0,1999,621511.0,,25,Zahra Sheikhinejad,"owner, finance exec",African American,"$7,036,000.00",,,(781) 893-1995,,,,Zahra Sheikhinejad,African American
4026,Boston Legal Partners Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 Overlook Ridge Dr # 614 Malden,,MA,2148.0,2018,541110.0,,1_4,Darius Brenden,owner,African American,"$728,000.00",,,,,,,Darius Brenden,African American
4073,Boston Raider Youth Football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 Julian St Boston,,MA,2125.0,2015,711211.0,,10_19,Donnell Singleton,owner,African American,"$3,476,000.00",,,,,,,Donnell Singleton,African American
4098,Boston Super Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29 Cummings Park # 440 Woburn,,MA,1801.0, NA,485999.0,,10_19,Wadee Suleiman,"owner, president, treasurer, board member",African American,"$1,196,000.00",,,,,,,Wadee Suleiman,African American
4383,Broadway Gulf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212 Broadway Somerville,,MA,2145.0, NA,447190.0,,3,Elias Menhan,owner,African American,"$3,327,000.00",,,(617) 628-8314,,,,Elias Menhan,African American
4489,Brukework Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 Spring St Medford,,MA,2155.0, NA,236115.0,,2,Worku T Bedada,"president, board member",African American,"$889,000.00",,,(617) 281-2176,,,,Worku T Bedada,African American
4500,BTX Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84 October Hill Rd Holliston,,MA,1746.0,1983,334516.0,,100,Chane Graziano,president,African American,"$30,614,000.00",,,(508) 893-8999,,,,Chane Graziano,African American
5219,Cafe Piazza Dolce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831 Main St # 101 Winchester,,MA,1890.0,2005,722514.0,,10,Alessandra Sinnisclico,owner,African American,"$560,000.00",,,(781) 838-6092,,,,Alessandra Sinnisclico,African American
5300,Camp Out Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133 Southbridge Rd North Oxford,,MA,1537.0, NA,423120.0,,4,Rufus Germaine,owner,African American,"$4,399,000.00",,,(508) 987-0765,,,,Rufus Germaine,African American
5421,Cardinal Home Health Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390 Main St # 509 Worcester,,MA,1608.0, NA,621610.0,,20-49,Carolyne W Mburu-Gerena,"president, treasurer, board member",African American,"$1,870,000.00",,,,,,,Carolyne W Mburu-Gerena,African American
5433,Care Plus Healthcare Staffing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Zoar St Worcester,,MA,1604.0,2015,541612.0,,5_9,Naomi W Maina,"president, treasurer, board member",African American,"$513,000.00",,,,,,,Naomi W Maina,African American
5469,Carla's Cleaning Svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222 W Main St Hyannis,,MA,2601.0, NA,561720.0,,5_9,Carla Assis,owner,African American,"$798,000.00",,,(508) 827-4743,,,,Carla Assis,African American
5654,Cedrone Trucking Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231 Rangeway Rd North Billerica,,MA,1862.0, NA,236115.0,,6,Romeo Cedrone,"owner, president, treasurer, board member",African American,"$2,667,000.00",,,(978) 667-4131,,,,Romeo Cedrone,African American
5684,Central Ave Auto Svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199 Commander Shea Blvd Quincy,,MA,2171.0, NA,811111.0,,4,Thomas Butts,owner,African American,"$601,000.00",,,(617) 769-9467,,,,Thomas Butts,African American
7556,Cleaning Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 Osgood St North Andover,,MA,1845.0, NA,561720.0,,12,Kwame Ofori-Asante,owner,African American,"$1,252,000.00",,,(978) 208-7590,,,,Kwame Ofori-Asante,African American
7593,Coachmen's Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273 Wrentham Rd Bellingham,,MA,2019.0,1968,722511.0,,19,Andreas Nicolos,owner,African American,"$1,045,000.00",,,(508) 883-9888,,,,Andreas Nicolos,African American
7633,Colette Phillips Communications,3.0,One Mckinley Sq 6th Fl,Boston,MA,2190.0,,541820.0,Public Relations and Marketing,10.0,Colette Phillips,CEO and President,,1300000.0,y,https://www.cpcglobal.com,,Y,Y,,3.0,One Mckinley Sq 6th Fl,Boston,MA,2190.0,,541820.0,Public Relations and Marketing,10.0,Colette Phillips,CEO and President,,1300000.0,,https://www.cpcglobal.com,,,,0.0,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colette Phillips,Black
7650,College Hill Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA,,,523920.0,Fund Manager,,Lorn C. Davis,Managing Partner,Black,,,http://collegehillcapital.com/about-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorn C. Davis,Black
7750,Compassion Immigration Svc Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 Kennedy Dr Malden,,MA,2148.0,2018,541110.0,,5_9,Gama Belizaire,owner,African American,"$1,213,000.00",,,,,,,Gama Belizaire,African American
7841,Conventures Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88 Black Falcon Ave # 202 Boston,,MA,2210.0,1977,454390.0,,25,Dusty Rhoads,owner,African American,"$2,124,000.00",,,(617) 439-7700,,,,Dusty Rhoads,African American
