"PRESONUS AUDIO ELECTRONICS, INC.",AUDIO EQUIPMENT MANUFACTURING
"PPJJ, LLC",THE PRINCIPAL BUSINESS ACTIVITY AND PURPOSES OF THE COMPANY INITIALLY SHALL
"PARKER PROFESSIONAL DRIVING SCHOOL, INC.",TRUCK DRIVING EDUCATION
"PEACEFUL RENTALS, LLC",HOLDS MY RENTAL PROPERTIES.
PRIMUS CONSTRUCTION LLC,HOME IMPROVEMENT AND CONSTRUCTION
"PSK PROPERTIES, LLC",RENTAL AND MANAGEMENT OF COMMERCIAL PROPERTIES
PLACE AT PARKINGWAY Q LLC,"ALL ASPECTS OF BUSINESS RELATED TO REAL ESTATE PURCHASE, SALE, OWNERSHIP, FIN"
"PRESCOTT, ENFIELD, & GREENWICH, LLC",CONSULTING AND EXPERTISE ON MATTERS RELATED TO COMPUTERS AND COMPUTER
PURCELL PRODUCTIONS LLC,"THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO BUY, INVEST IN, HOLD AN"
"PAL-OIL CO.,INC.",RENTAL
PERSONAL CARE & ASSISTED LIVING,INSURANCE AGENCY SALES/MARKETING
PLEASANT CROSSINGS LLC,"TO DEMOLISH, REHABILITATE, MAINTAIN, OWN, IMPROVE, DEVELOP, OPERATE, LEASE, FI"
"PARAGON EDUCATIONAL CONSULTING, LLC",EDUCATIONAL CONSULTING - PROVIDING FAMILIES SERVICES AROUND EDUCATIONAL P
"PLAN B VENTURES I, LLC",INVESTMENT HOLDING COMPANY
"PAT'S WELLNESS, INC.",WELLNESS & MESSAGE THERAPY SERVICES
"PEDELL,INC.",ALCOHOL RETAIL PACKAGE STORE BUSINESS
PRACTICAL TECH TEST INC.,ONLINE TESTING SERVICE
"PRECISION REALTY PROPERTIES, LLC",REAL ESTATE INVESTMENTS
"GLOBAL INDEPENDENT ADVISORS, LLC",EMPLOYEE BENEFITS BROKERAGE AND CONSULTING
"PARAMOUNT SHEARWATER 175, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE COMPANY IS TO ENGAGE IN INVEST
"PENG, INC.",RETAIL
"INE GLOBAL, LLC",SELL OF AIR PURIFIERS.
"P AND L VENTURES, LLC","THE PURPOSE OF CARRYING ON BUSINESSES, UNDERTAKINGS, TRANSACTIONS OR OPERA"
PRAGMA LLC,BUSINESS CONSULTING AND OTHER SERVICES
"PRIMATOPE THERAPEUTICS, INC.",BIOPHARMACEUTICALS
"PROCESS CONTROL SOLUTIONS, INC.",WHOLESALE INDUSTRIAL MACHINERY AND SUPPLIES
"PADRE CUSTOM WOODWORKING, LLC","CUSTOM FABRICATION OF RESIDENTIAL TRIM, CABINETRY AND HOME BUILDING"
PLAINDEALING INC.,HOLDS INVESTMENTS
"NATIONAL CAPITAL MORTGAGE, INC.",MORTGAGE BROKERAGE
PLEASANT HILL GROWERS LLC,PLANT CULTIVATION
PATRIOTS NURSING INC.,NURSING STAFFING AND HOME CARE
"PF CONSTRUCTION, INC.",CARPENTRY AND PAINTING SERVICES
"PB&C SERIES, LLC","TO ACQUIRE BY PURCHASE, LEASE OR OTHERWISE, LAND AND INTERESTS IN LAND, AND T"
"PETRA ENTERPRISE SOLUTIONS, INC.",INFORMATION TECHNOLOGY
"STARBURST DATA, INC.",DATABASE SOFTWARE AND SERVICES
PATCH CORP.,COFFEE AND DONUT SHOPS
"PATRIOTSFANSHOP.COM, LLC",DISTRIBUTOR OF LICENSED SPORTS MERCHANDISE.
"PEAK FINANCIAL SERVICES, INC.",FINANCIAL INVESTMENT ADVICE
PILOTMADE INC,WEB DESIGN
PYRAMID CHARLESTON MANAGEMENT LLC,"HOTEL MANAGEMENT, ASSET MANAGEMENT, CONSULTING AND OTHER SERVICES; OPERA"
PANDA LEGACY LLC,"TO HOLD, MANAGE AND LEASE REAL ESTATE."
PRIMEX TOOL CORP.,SELL PAINT BRUSHES AND OTHER PAINTING TOOLS
PRESCRIBED VINYL LLC,RETAIL VINYL RECORD STORE - INTERNET SALES (INCLUDING INDEPENDENT SALES ON A
PIPER DREAMS LLC,TO OWN AND OPERATE AIRPLANES AND OTHER FORMS OF TRANSPORTATION AND TO ANY
"PRECISION ENVIRONMENTS, INC.",DESIGN / BUILD CLEANROOM
PHIL & SONS PROPERTIES LLC,AUTOMOTIVE REPAIR
PEABODY-WESTFIELD LIMITED PARTNERSHIP,"TO RENT, OWN"
"PV PROS, INC.",COMMERCIAL AND UTILITY SCALE SOLAR ENGINEER & PROJ
PARALLEL SYSTEMS CORP.,MANUFACTURING
"PINE-OLD FERRY LIMITED PARTNERSHIP, THE",REAL ESTATE
PROKOPOV INDUSTRIES INC.,CARPENTRY
"THE PENNY CANDY STORE, INC.",WHOLESALE / CANDY DISTRIBUTION
"PRIMARY AND PREVENTIVE CARE, INC.",MEDICAL OFFICE
"PLANET POLICE, INC.",RECYCLING
PLANET ICE CREAM INC.,TO PROVIDE SCIENTIFIC AND EDUCATIONAL PRODUCTS
PROFESSIONAL STAFFING ASSOCIATES LLC,"PROVIDE STAFFING, EQUIPMENT AND MATERIALS TO DIVERSE COMPANIES BY CONTRAC"
POI INC,OFFICE FURNITURE INSTALLATIONS
PUGG COMPANY LLC,SPORTING GOODS
POST SCRIPT MEDIA LLC,MEDIA PRODUCTION
"PREMIER MEDICAL ASSOCIATES, P.C.",MEDICAL PRACTICE
PACIFIC LINE LLC,DISTRIBUTION OF GOODS
"PDQ SALES, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN BUILDING MAT
"PANGEA SHELLFISH AND SEAFOODS COMPANY, INC.",SHELLFISH & SEAFOOD
"POWERHOUSE SQUARE II, LLC","THE PURPOSE OF THE LLC IS TO OWN, MANAGE AND OPERATE REAL ESTATE, TO PROVIDE"
PARK AVENUE GAS & MARKET LLC,GASOLINE STATION / CONVENIENCE STORE
"PYRAMID CONSULTING, INC.",IT STAFFING AND SOLUTIONS
PRESTIGE IMAGE LLC,PHOTOGRAPHIC & VIDEO SERVICES
PROJECT PEOPLE LIMITED,CONSULTING AND RECRUITMENT
"PATHOGENETIX, LLC",MANUFACTURER OF MICROBIAL GENOTYPING SYSTEM
"POWER FACT ELECTRIC, INC",TO CONDUCT AND ENGAGE IN ELECTRICAL CONTRACTING
"PACIFIC SOUTHWEST FINANCIAL & INSURANCE SERVICES,",INSURANCE AGENCY
PROTECT MY CAR LLC,SERVICE CONTRACT PROVIDER
"PANRAVEN, INC.",NOW DEFUNCT WEBSITE FOR STORING CONSUMERS' PHOTOS.
"PUSATERI & WILSON, P.C.",LAW OFFICE
"PEZWICK PLUMBING AND HEATING, INC.",SALES & INSTALLATION / REPAIR OF PLUMBING & HEATIN
P.E.A.C.E. PLUS MAINTENANCE CORP.,JANITORIAL SERVICES
PHASE I FUND LP,ONSHORE HEDGE FUND
PERFECTO INC.,VIDEO SALES
PHELOBATER PNNG INC,RESTAURANT
PEGGED ENTERPRISES INC.,RESTAURANT
"PRICK ME, INCORPORATED",PIERCING & TATOO
"PRONOVIAS U.S.A., INC",RETAIL APPAREL AND ACCESSORIES
"POTTER & MCARTHUR, INC.",MARINE ENGINEERING CONSULTING
"PELLETS R US, LLC","PURCHASING, SELLING AND DISTRIBUTING WOOD HEATING PELLETS AND ALL SERVICES"
"PPG ARCHITECTURAL FINISHES, INC.","TO MANUFACTURE, DISTRIBUTE & SELL PAINTS & STAINS"
PTTQ CORPORATION,RETAIL AND SERVICE
"PETER C. QUINN INSURANCE AGENCY, INC.",INSURANCE AGENCY
"POLICY AND MANAGEMENT ASSOCIATES, INC.",MANAGEMENT CONSULTANTS - REPORT AND PROPOSAL
"PREMIER MARINE, LLC",RETAIL BOAT SALES
"PIPELINES, INC.",PLUMBING AND HEATING
PEERLESS MASTERING & CONSULTING LLC,THE GENERAL BUSINESS OF THE LLC IS COMPUTER CONSULTING AND MUSICAL MASTERI
"PLAZA DELI, INC.",FOOD SERVICE
"PRECISION COLLISION, INC.",COLLISION REPAIR
PLUM ISLAND SILVER COMPANY INC.,WHOLESALE AND RETAIL JEWELRY SALES
PLATINUM CLOTHING INC.,TO OPERATE A RETAIL AND WHOLESALE CLOTHING STORE.
"PERINI MANAGEMENT SERVICES, INC.",INTERNATIONAL CONSTRUCTION MANAGEMENT
"PROVIDENCE 540, LLC","THE GENERAL CHARACTER OF THE LLC IS TO BUY, SELL, LEASE, RENT, PLEDGE, MORTGAG"
"THE POINT RESTAURANT, INC.",RESTAURANT
"PONGRATZ AVIATION SERVICES, LLC",RENTAL OF AIRCRAFT
"PACEWICZ ELECTRICAL SERVICES, INC.",ELECTRICIAN
"PARK SQUARE DENTAL, PC",DENTAL CLINIC
"PAWN YOUR COLLECTIBLES, LLC","THE COMPANY IS FORMED FOR THE GENERAL PURPOSES OF, AND THE NATURE OF THE BU"
"PRESTIGE INVESTMENT GROUP, LLC",INVESTMENTS
PARTNER ADVISORS INTERNATIONAL LLC,CONSULTING WITH RESPECT TO FINANCIAL SERVICES AND PRODUCTS AND ANY OTHER L
"PROJECT MANAGEMENT RESOURCES, LLC",PROJECT MANAGEMENT CONSULTING
"PMSOL-TECH, INC.",PROJECT/PROGRAM MANAGEMENT CONSULTING SERVICES
PAXTON LAWN MAINTENANCE CO INC,NURSERY & LANDSCAPE CONSTRUCTION
"PURE WATER INNOVATIONS, LLC",SALES AND RENTALS OF BOTTLE WATER AND COOLERS.
"PRM ENGINEERING, LLC","TO ESTABLISH, OPERATE, AND MAINTAIN A BUSINESS ENGAGED IN THE FIELD OF CIVIL A"
POLANCOS TRANSPORTATION INC,TRANSPORTATION
PEEPS INCORPORATED,EQUIPMENT LEASING
"P & S HART, LLC",ONWERSHIP OF RENTAL REAL ESTATE PROPERTY (ONE HOUSE).
"PIPELINE LAND SERVICES, INC.","ROW, SURVEY, MAPPING, CONSTRUCTION AND INSPECTION"
"FAIRFIELD CONSULTING, LLC",MEDICAL DEVICES
"PENTA BIOMED, INC.",IDLE
"PROVINCETOWN OYSTERS, LLC",HARVESTING AND WHOLESALE SALE OF OYSTERS.
"PIONEER VALLEY PEDIATRICS, INC.",PEDIATRIC MEDICINE
PINNACLE NETWORK SOLUTIONS INC.,"NETWORK CONSULTING SERVICES, STRUCTURED CABLING"
PHYSIONICS INC.,RESEARCH INSTRUMENTATION
PHOENIX II LIMITED PARTNERSHIP,REAL ESTATE
"PIONEER VALLEY PERSONAL TRAINING, INC.","PRIVATE FITNESS CENTER, PERSONAL TRAINING"
"PETERSON SUBWAY, INC.",SUBWAY FRANCHISE
"PATRIOT BINGO SUPPLIES, INC.",DISTRIBUTION OF CHARITABLE GAMING SUPPLIES
"PHONE.COM, INC.",COMMUNICATIONS
NORTHERN AVENUE LLC,OWNER OF REAL ESTATE AND OTHER RELATED ACTIVITIES
FLYWIRE CORPORATION,ONLINE SERVICES
"PRESTIZA CAPITAL, LLC",REAL ESTATE INVESTMENTS
"PRADO PAINTING CORP.,",PAINTING SERVICES
"PLAZA BARBER SHOP & HAIR SALON, INC.",HAIR SALON
PATRIOT LIVING LLC,PROPERTY MANAGEMENT AND CONSTRUCTION
"PIEDMONT INVESTMENTS, LLC",REAL ESTATE INVESTMENT AND ANY OTHER LAWFUL ACTIVITY FOR WHICH A LIMITED LI
"PRINCIPAL SECURITIES, INC.",REGISTERED BROKER-DEALER
"PIERCE SOLUTIONS, INC.",SOFTWARE SUPPORT
PARADISE CAPITAL INC.,FINANCIAL SERVICES / CREDIT INTERMEDIARY
"PUBLIC STORAGE INSTITUTIONAL FUND III, A",STORAGE RENTAL
PORSCHE FUNDING LIMITED PARTNERSHIP,SPECIAL PURPOSE ENTITY: ALL ACCOUNTS ARE ORIGINALLY BOOKED AT PFLP AND TELLS
"PAUL BATAKIS,INC.",MOBILE PARK
PRIME AUTO RENTAL INC,AUTO LEASE AND RENTALS
"PAGE HOLDINGS, LLC",RENTAL PROPERTY
"PROFILELINKER, INC.",SOCIAL NETWORK AGGREGATOR
PLATINUM AUTOWORX LLC,SPRAY-ON TRUCK BED LINER
PINECREST REAL ESTATE SERVICES LLC,"BUY, SELL, LEASE, MANAGE, INVEST, REHAB/REPAIR REAL ESTATE, OR FOR ANY OTHER LA"
PATZ CHIROPRACTIC PC,#CHIROPRACTIC CLINIC
PHALLACIES LLC,EDUCATIONAL AND ARTS CONSULTING
PRESTIGE NAIL & SPA LLC,NAIL SALONS
PASCIUTO MANAGEMENT LLC,MANAGEMENT COMPANY
"PRWT SERVICES, INC.",SERVICES ORGANIZATION
"PARIS DESIGN, LLC",DESIGNING AND MANUFACTURING SPECIALTY PRODUCTS.
PHAROS DIAGNOSTICS LLC,MEDICAL RESEARCH
"PIONEER VALLEY RENTAL MANAGEMENT, LLC","THE LLC WILL INVEST IN, OWN, MANAGE AND DEVELOP REAL ESTATE AND INTERESTS TH"
"PUGLIESE RESTAURANT, INC.",RESTAURANT
PIERCE BUILDING ASSOCIATES LIMITED,REAL ESTATE DEVELOPMENT AND INVESTMENT.
PFM ASSET MANAGEMENT LLC,PUBLIC INVESTMENT ADVISORS
PROGRESSIVE MUSCLE AND FITNESS INC.,PHYSICAL FITNESS TRAINING
"PEDRO CONSTRUCTION, INC.",CONSTRUCTION
PINNACLE SUMMER LLC,REAL ESTATE INVESTMENT.
THE POUR GUYS LLC,WE ARE A CATERING COMPANY IN THE HOSPITALITY INDUSTRY
"PREFERRED STAFFING AND RECRUITING, LLC",PERSONNEL SERVICES.
PHARMACEUTICS INCORPORATED,PHARMACEUTICAL AND SUPPLIES DISTRIBUTOR
PREFERRED WIRELESS CONSULTANTS NE INC.,PRE-PAID CELLULAR PHONES AND ACCESSORIES
"POLLY PARKER PRESS, LLC",PUBLISHING TO INCLUDE ALL BUSINESSES RELATED THERETO AND ANY OTHER LAWFUL
"PIKE COMPANY, INC., THE",GENERAL CONTRACTOR AND CONSTRUCTION MANAGER
"PACIFIC CONSTRUCTION & MANUFACTURING, INC.",GENERAL CONTRACTOR
"PBI SOURCE SCIENTIFIC, INC.",LABORATORY EQUIPMENT
PARTNERS HEALTHCARE ACCOUNTABLE,ACCOUNTABLE CARE ORGANIZATION
"PHILIPPE, INC.",CONVENIENCE STORE
"PPC 316 HUNTINGTON AVENUE GP, INC.",REAL ESTATE DEVELOPMENT AND MANAGEMENT
POW AUDIO INC.,AUDIO DESIGN
PRISHA REALTY CORP,REAL ESTATE
"PRIME PROPERTY SOLUTIONS, INC.",BUY & RENT RESIDENTIAL AND COMMERCIAL REAL STATE
PAINTING PROFESSIONALS OF NEW ENGLAND,PROFESSIONAL PAINTING SERVICES
"PAULA J. ERICSSON, CPA, LLC",ACCOUNTING AND TAX SERVICES
PARADISO FINANCIAL & INSURANCE,PERSONAL AND COMMERCIAL LINES INSURANCE AGENCY.
"PROSPECT APARTMENTS, INC.",OWNER OF A MULTI FAMILY APARTMENT BUILDING
"PRIORITY CARE SOLUTIONS, LLC",WORKER'S COMPENSATION INDUSTRY MANAGEMENT SERVICES
PEACHTREE COHEN LIMITED PARTNERSHIP,REAL ESTATE INVESTMENT AND DEVELOPMENT
PURE ITALIAN LLC,FOOD IMPORTS AND WHOLESALE DISTRIBUTION
"PEPSI-COLA BOTTLING CO. OF WORCESTER, INC.",- -NONE-BEVERAGE DISTRIBUTION
"PAMELA SANDE & ASSOCIATES, LLC","CONSULTING IN THE AREAS OF HR MANAGEMENT, TALENT ACQUISITION, TRAINING AND"
MEDGISTICS LLC,"ANY AND ALL LEGITIMATE BUSINESS UNDERTAKINGS: INCLUDING BUT NOT LIMITED TO, I"
"PORTER RIVER PRODUCTIONS, INC.",DEVELOP INTERACTIVE GRAPHICS APPLICATIONS
PATALANO FAMILY LIMITED PARTNERSHIP NO. 1,"TO OWN, INVEST IN, HOLD, LEASE, AND OTHERWISE DEAL WITH REAL AND PERSONAL PR"
PARETO LAW INC.,SALES TRAINING AND RECRUITMENT SERVICES
"PREFERRED INSURANCE AGENCY, INC.",INSURANCE AGENCY
"PAULUS, SOKOLOWSKI AND SARTOR, LLC",PROFESSIONAL ENGINEERING CONSULTING AND RELATED SERVICES; THE NAMES AND A
"PLAYERS, LLC.","OWNERSHIP AND MANAGEMENT OF REAL ESTATE AT 86 VFW DRIVE, ROCKLAND, MA."
"PRISYM, INC.",SOFTWARE DEVELOPMENT
THE PARC AT MEDFIELD LLC,REAL ESTATE
PRO TECH A- I-O SERVICES CORP,"GAS STATION, STORE, AUTO REPAIR, COMPUTER SERVICE"
"PRICING RECRUITERS, LLC",PRICING RECRUITERS
PANDA BEAUTY INC,BEAUTY
PALMABRAHMA LLC,MOBILE-FIRST DIGITAL PRODUCT DEVELOPMENT
PEKE'S CONSTRUCTION INC,CONSTRUCTION SERVICES
"PIMF, LLC","TO OWN, LEASE AND MANAGE REAL ESTATE AND THE LLC IS FURTHER AUTHORIZED TO D"
"PHP REALTY, INC.","MAINTAIN, PREPARE, PURCHASE AND ACQUIRE PROPERTIES"
P.D.L. CONSTRUCTION CORPORATION,ROAD CONSTRUCTION
PR LITTLETON MASS LLC,REAL ESTATE INVESTMENTS
PRINCE STREET TRUST LLC,"THE PURPOSE OF THE LLC IS TO ACQUIRE, MANAGE, DEVELOP, OWN, HOLD, RENT, LEASE,"
"PLYMOUTH PAR, LLC",REAL ESTATE
PACIFIC INTERPRETERS INCORPORATED,OVER THE TELEPHONE INTERPRETING
PARTNERS REALTY GROUP INC.,REAL ESTATE BROKERAGE
"P. L. PROPERTIES, LLC","TO EITHER DIRECTLY OR INDIRECTLY THROUGH OTHER ENTITIES, ACCQUIRE, OWN, DEVE"
"PINE AND BAKER MFG., INC.",MANUFACTURER
"POLY-V, INC.",THERMOPLASTICS BROKER
PHILLIPS SCREW COMPANY,DEVELOPMENT AND LICENSING OF FASTENER PRODUCTS
"FOOD'S STYLE USA, INC.",FOOD SERVICE RESTAURANT
"PARTNERS & SIMONS, INC.",ADVERTISING AGENCY
PRALIX COMPANY,FITNESS TRAINING
"P.H. STRONG, INCORPORATED",ACCOUNTING
"PAUL & ELIZABETH'S, INC.",RESTAURANT
"PBD SALES, LLC",WHOLESALE - SALE OF GOODS - FLEXIBLE PACKAGING
PORTWALK RESIDENTIAL LLC,REAL ESTAATE DEVELOPERS
"PHY INVESTMENT, INC.",OWNS AND OPERATES RESTAURANT
PRIO WEALTH LIMITED PARTNERSHIP,INVESTMENT ADVISING
PYRAMID ORLANDO DOWNTOWN,"HOTEL MANAGEMENT, ASSET MANAGEMENT, CONSULTING AND OTHER SERVICES; OPERA"
"PLAY TIME INC., THE",RETAIL ARTS & CRAFTS
"POWER PROCESSING, INC.",ELECTRONICS
"PROJECT CONSULTING SERVICES, INC.",CONSULTING ENGINEERS
"PANANAS REALTY, INC.",RENTAL REAL ESTATE
"PILGRIM QUALITY SOLUTIONS, INC.",SOFTWARE DEVELOPMENT AND MANAGEMENT
"PST PRODUCTS, LLC",APPLICATION SOFTWARE AND SERVICES FOR HEALTHCARE ORGANIZATIONS.
PB MARTINO HEATING & BURNER SERVICE,HVAC
"PAGE MUSIC LESSONS, INC.",MUSIC LESSON BUSINESS
"PERSONAL PHYSICIANS HEALTHCARE, LLC",TO RENDER MANAGEMENT SERVICES TO MEDICAL PRACTICE.
LOMBARD INTERNATIONAL DISTRIBUTION COMPANY,BROKER DEALER
"PPH FRANCHISE HOLDINGS, LLC",HEALTHCARE SERVICES
"P. JUDGE & SONS, INC.",TRUCKING & FREIGHT
PACINVEST LLC,HOLD PERSONAL PROPERTY: BOATS.
"PLYMOUTH HOSPITALITY, LLC",HOTEL
PC CONSTRUCTION SERVICES CORP,CONSTRUCTION SERVICES
PORTLAND TERMINAL COMPANY,TRANSPORTATION
"PROJECT DEVELOPMENT GROUP, INC.","ASBESTOS ABATEMENT, MOLD REMEDIATION"
"PEABODY PROPERTIES MANAGER, INC.",REAL ESTATE
"PUBLIC CONSULTING GROUP, INC.",MANAGEMENT CONSUTLTING
PPC INDUSTRIES INC.,MANUFACTURING
"PIGEON COVE FISHERMEN'S COOPERATIVE, INC.",FISHING COOP
"PIPELINE CONSTRUCTION & MAINTENANCE, INC.","PIPELINE, CONSTRUCTION AND MAINTENANCE WORK."
PEAK PERFORMANCE PROPERTY,THE GENERAL CHARACTER OF BUSINESS OF PEAK PERFORMANCE PROPERTY MANAGEME
"PLYMOUTH ROCK MOVING & STORAGE, INC.",MOVING AND STORAGE
"PRAXIS INSURANCE ASSOCIATES, LLC",COMMERCIAL INSURANCE
"PARTYKA RESOURCE MANAGEMENT COMPANIES, INC.",HOLDING COMPANY
"PALMER EMBLEM CO, INC.",SALE OF EMBLEMS
"PARTRIDGE ASSOCIATES, INC.",MAINTENANCE
"PROPERTERS, LLC","BUYING, REPAIRING, REMODELING, RENOVATING AND SELLING REAL ESTATE AND TO EN"
"EBAY INSURANCE SERVICES, INC.",ON-LINE INSURANCE BROKER
"PARALLEL INFORMATION SYSTEMS, INC.",CONSULTING
"PALACE CONSTRUCTION, INC.",COMMERCIAL CONSTRUCTION
"PASSAGES, INC.",THIS WAS HIGH END TRAVEL. THE BUSINESS WAS DISSOLV
PENNOYER LAND LLC,"OWN SUMMER HOUSE ON MISHAUM POINT, SOUTH DARTMOUTH"
"PLYMOUTH LIQUOR MART, INC.",PACKAGE STORE
"PORT O'CALL, INC.",RESTAURANT
"PEP PROPERTIES, LLC",INVESTMENT PROPERTY
PRINCETON RPT SERVICES LLC,APARTMENT RENTALS
"PARENT, MCLAUGHLIN & NANGLE CERTIFIED PUBLIC",PROFESSIONAL SERVICES
