"THE UMA GROUP, INC.",CONV / LIQUOR STORE
THE UXLOCALE L.L.C.,THE UXLOCALE IS A GASTRO PUB. SPECIALIZING IN A HIGH STANDARD OF FOOD: WOOD F
U & ASIM CORPORATION,GAS STATION
"PURELY HEALTHY ME, LLC",PROFESSIONAL HEALTH COACHING AND RELATED PRODUCT SALES.
U & I CORP.,TAXICAB SERVICES
U & I TAX SERVICES CORPORATION,TAX AND ACCOUNTING SERVICES
"U & I TRANSPORTION, LLC",LIVERY SERVICES
"U & S ACQUISITION, INC.",ACQUIRING AND DEVELOPING BUSINESSES & REAL ESTATE.
"U - SCREEN U. S. A., INC.",MANUFACTURING DIRT & LOAM SCREENERS
"U - TRAILERS, INC.",LEASE ENCLOSED TRAILERS
U A REALTY LLC,USED CAR DEALER BUILDING
U AND ME INC.,GAS STATION WITH CONVENIENCE STORE
U AND P BEAUTY SUPPLIES INC.,NAILS SUPPLY
HOT SHOT AUTO TRANSPORT INC.,AUTO TRANSPORT SERVICES
U CALL WE HAUL LLC,RUBBISH REMOVAL
U CORP.,REAL ESTATE MANAGEMENT
U FIRST AUTO SALES LLC,AUTO SALES
"U FOR LIFE, INC.",SOCIAL MEDIA PUBLISHING
"U L ENTERPRISES, INC.",VARIETY STORE
"U L F - EDGARTOWN, LLC","TO ENGAGE IN INVESTMENT IN, AND OWNERSHIP AND DEVELOPMENT OF, REAL ESTATE"
ADAM NOBLE HOLDINGS COMPANY,DIGITAL MEDIA STORAGE AND DISTRIBUTION.
U M P CORP.,USED CAR SALES
"U MART INTERNATIONAL, INC.","CONVENIENCE STORE, AND OTHER SUCH LAWFUL USE."
"U NEED MASSAGE, INC.",MASSAGE THERAPY
U OF NANTUCKET INC.,RETAIL SALES
"U PLAZA, LLC",REAL ESTATE MGMT
"U S AIR CONDITIONING-HEATING, INC.",HVAC AND MECHANICAL SYSTEMS AND ENERGY MANAGEMENT
"U S AUTO CARE, INC.",AUTO REPAIRS
U S CORPORATION COMPANY,REGISTERED AGENT
U S HIGH DEFINITION DIRECT INCORPORATED,"RETAIL, WHOLESALE ANTENNAS FOR TELEVISION."
"U S INSURANCE BROKERS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS: (A) TO ENGAGE IN THE BUSIN
"U.S. MANUFACTURING CO., LLC",MANUFACTURING PREFABRICATED CONTAINERS
"U.S. REAL ESTATE INVESTMENT FUND, LLC","THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
"QWEST BUSINESS & GOVERNMENT SERVICES, INC.",INACTIVE MERGED IN 2001
"QWEST INTERPRISE AMERICA, INC.",INTERNET SERVICES COMPANY/SALES AND SERVICE
CENTURYLINK INVESTMENT MANAGEMENT COMPANY,INVESTMENT MANAGEMENT COMPANY
"U S WIDE FINANCIAL, LLC",MORTGAGE LENDING & BROKERING
"U SPA, LLC","IF THE LIMITED LIABILITY COMPANY IS ORGANIZED TO RENDER PROFESSIONAL SERVICE,"
"U STRONG INTERNATIONAL, INC.",EXPORT AND IMPORT
"U T S OF MASS., INC.",CONSTRUCTION MATERIALS TESTING & INSPECTION
"U WANNAM US, INC.",LANDSCAPING AND PROPERTY MANAGEMENT
"U&B SOLUTIONS, LLC",NOT CONDUCTING BUSINESS
"U'YA NAIL SALON & SPA, INC.",NAIL AND SPA SERVICES
U-A FINE HAIR STUDIO INC.,HAIR SALON
"U-ACCESS.USA, LLC",TRANSPORTATION - PASSENGERS (SHUTTLE BUS)
"U-ARK AMERICA, INC.",COMPUTER SOFTWARE FOR NURSING HOME MANAGEMENT
U-BLOX AMERICA INC.,WHOLESALE OF EMBEDDED WIRELESS COMMUNICATIONS
"U-BROAD, LLC",POSTAGE AND DELIVERY
"U-CAN BRAND, LLC, THE",MANUFACTURER OF GARDEN PRODUCTS
"U-CHANGE LOCK INDUSTRIES, INC.",SALE OF LOCK AND SECURITY PRODUCTS AND SERVICE.
U-CHOOSE LLC,IMPORTER AND EXPORTER
"U-GRILL, INC.",FOOD ESTABLISHMENT RESTAURANT
U-GROW LLC,RETAIL STORE - GARDENING.
"U-HAUL BUSINESS CONSULTANTS, INC.",BUSINESS CONSULTANT FOR VEHICLE RENTAL INDUSTRY
"U-HAUL CO. OF MASSACHUSETTS AND OHIO, INC.",RENTAL OF TRUCKS AND TRAILERS
"U-MEGA, CORP,",CONSULTING SERVICE
"U-NAME-IT SELF STORAGE, LLC","TO OWN, MANAGE AND OPERATE A SELF STORAGE RENTAL FACILITY AND ALL LAWFUL A"
"U-ONE, INC.",RESTAURANT
"U-PIC INSURANCE SERVICES, INC.",SMALL PARCEL SHIPPING INSURANCE
U-RIDE TRANSPORTATION CORP.,TRANSPORTATION
"U-SAVE AUTO RENTAL OF AMERICA, INC.",CAR RENTAL COMPANY
"PEAKSTONE FINANCIAL SERVICES, INC.",INSURANCE AGENCIES AND BROKERAGE
"U-SAVE FOODS, INC.",FOOD RETAIL
"U-SAVE STAFFING, INC.",TEMPORARY STAFFING
U-STOR DEVELOPMENT CORP.,STORAGE DEVELOPMENT
U-STOR MANAGEMENT CORPORATION,PROPERTY MANAGEMENT
"U-STOR SELF STORAGE, INC.",SELF STORAGE
"U-STORE IT OF EAST BRIDGEWATER, INC.",OPERATOR OF SELF STORAGE FACILITIES
"U-STORE IT OF GRAFTON, INC.",OPERATOR OF SELF STORAGE FACILITIES
"CUBESMART TRS, INC.",OWNER OF REAL ESTATE
"U-STORE- IT, INC.",MANAGEMENT SELF STORAGE FACITILITIES
"CUBESMART, L.P.",REAL ESTATE
"U-SWIRL INTERNATIONAL, INC.",FRANCHISOR OF RETAIL SELF-SERVE FROZEN YOGURT CAFE
U-TRIDENT LLC,"MANUFACTURING, MARKETING AND SALE OF HEALTH-RELATED FOODS AND SPICES"
"U-TURN AUDIO, INC.","DESIGN, MANUFACTURE AND SALE OF AUDIO PRODUCTS"
"U. & M., INC.",JEWELERY RETAIL
"U. B. VEHICLE LEASING, INC.",LEASING OF TANGIBLE PERSONAL PROPERTY
U. R. A. CONSTRUCTION CORP.,CONTRACTING
U. S. SILICA COMPANY,MANUFACTURING
"U. S. ADVISORY GROUP, INC.",FINANCIAL SERVICES
"U.S. BANCORP EQUIPMENT FINANCE, INC.",PERSONAL PROPERTY LEASING AND COMMERCIAL FINANCE
"U. S. CAPITAL & INVESTMENTS, INC.",U S INVESTMENTS AND VC
"U. S. DRYWALL, INC.","U. S. DRYWALL, INC."
"U. S. FINANCE GROUP, LLC",CONSULTING FOR REAL ESTATE AND INVESTMENTS
"CLARION FIRE PROTECTION, INCORPORATED","FIRE SPRINKLER AND FIRE ALARM SERVICE, INSTALLATIO"
"US FOODS, INC.",WHOLESALE FOOD DISTRIBUTOR
"U. S. GUITAR KITS, INC.",MUSICAL INSTRUMENT KIT SALES
"U. S. INTERMODAL, INC.",LOADING AND UNLOADING SERVICES AT RAIL TERMINAL
"U. S. LAWNS, INC.",LANDSCAPING SERVICES
"U. S. N. RAIL 139, LLC",MILITARY CARRIER AND LOGISTICS
"U. S. PROFESSIONAL SERVICES, INC.",PLACEMENT OF TEMPORARY/PERMANENT PERSONNEL
"U. S. R. V., INC.","AUTOMOBILE SALES, RECREATIONAL VEHICLES"
U. S. REINSURANCE AGENCY CORPORATION,INSURANCE BROKERAGE
U. S. REINSURANCE CORPORATION,INSURANCE BROKERAGE FIRM
"U. S. RETAIL, INC.",RETAIL SALES
"U. S. SEAFOOD IMPORTERS, LLC",IMPORT SEAFOOD
"U. S. SECURITY ASSOCIATES AVIATION SERVICES, INC.",SECURITY & PROTECTION SERVICES
"U. S. SECURITY ASSOCIATES STAFFING, INC.",SHORT TERM EMPLOYMENT SOLUTIONS TO CUSTOMERS
"U. S. SECURITY ASSOCIATES, INC.",SECURITY & PROTECTION SERVICES
"U. S. SPECIALTY PACKAGING, INC.",MANUFACTURING OF PLASTIC PAILS
"U. S. TRADING, INC.",MATERIAL PURCHASE CONSULTING
"U. S. TSUBAKI HOLDINGS, INC.",MANUFACTURER OF POWER TRANSMISSION COMPONENTS
"U.A.P. AUTOMOTIVE WAREHOUSE, INC.",REAL ESTATE
"U.E. HOUSING, INC.",AFFORDABLE HOUSING
"U.E. II HOUSING, INC.",AFFORDABLE HOUSING
U.E. LIMITED PARTNERSHIP,AFFORDABLE HOUSING
U.G.C. CORPORATION,HOLDINGS
U.I.S. BROKERS EAST LTD.,INSURANCE AGENCY
"U.K. ELITE SOCCER, INC.",SOCCER CAMPS
U.M. ARMY-NORTHEAST,FAITH BASED MISSION WORK.
"U.N.I., INC.",FULL SERVICE RESTAURANT
"U.P. HOLDINGS, LLC",OWN RESIDENTIAL AND COMMERCIAL PROPERTY AND SERVICES INVOLVED WITH PROPE
"U.R. BROWNSGREEN, LLC",COMMERCIAL SEPTIC PUMPING & HAULING
"U.R.L., INC.",INSURANCE AGENCY
U.S ENTERPRISE LLC,CLEANING SERVICES.
"U.S. - CHINA EDUCATION & INVESTMENT IMMIGRATION, INC.",EDUCATION AND IMMIGRATION CONSULTING SERVICES
"BOSTON AGREX, INC.",COMMODITIES EXPORTERS
"PATRIOT ARMORED SYSTEMS, LLC","GLASS AND POLYMER LAMINATION, SPECIALIZING IN CUSTOMIZED BULLET-RESISTANT G"
"U.S. ART CO., INC.",TRANSPORTATION OF FINE ART
U.S. ASSET CORP.,SERVICE CONTRACT OBLIGOR
"U.S. AUTO RENTAL, INC.",RENTAL CARS
"U.S. BANCORP CARD SERVICES, INC.",BANK CARD SERVICING SUBSIDARY.
U.S. BANCORP COMMUNITY DEVELOPMENT CORPORATION,INVEST IN REAL ESTATE PROJECTS
"U.S. BANCORP GOVERNMENT LEASING AND FINANCE, INC.","LEASE, LOAN AND SIMILAR FINANCING GOVT & NONPROFIT"
"U.S. BANCORP INSURANCE SERVICES, LLC",INSURANCE AGENCY FOR LIFE AND CREDIT-RELATED LIFE AND ACCIDENT INSURANCE
"U.S. BANCORP INVESTMENTS, INC.",PROVIDE RETAIL AND INSTITUTIONAL BROKERAGE SERVICE
PIPER JAFFRAY & CO.,FULL-SERVICE SECURITIES BROKER-DEALER
"U.S. BEDDING, INC.",MATTRESS MANUFACTURER
UNITED BEHAVIORAL HEALTH,PROVIDER OF MENTAL HEALTH & SUBSTANCE ABUSE SERV
U.S. BEST REPAIR SERVICE INC.,CONSTRUCTION SERVICES - HOME REPAIR
"U.S. BLUESWARE, LTD.",CLOTHING
U.S. BORAX INC.,MINING OF BORATE PRODUCTS
U.S. BOSTON ASSET MANAGEMENT CORPORATION,REAL ESTATE CONSULTING
U.S. BOSTON CAPITAL CORPORATION,SECURITIES SALES
U.S. BOSTON CORPORATION,FINANCIAL SERVICES
"U.S. BOSTON INSURANCE AGENCY,INC.",INSURANCE SALES
U.S. BROKERS (BOS) INC.,CUSTOMS HOUSE BROKERS FREIGHT FORWARDERS
"U.S. BROKERS NETWORK, INC.",UNDERWRITE PRF'L LBLTY INS FOR LICENSED BRKS & AGT
"U.S. BUILDERS, INC.",CONSTRUCTION
"U.S. BUS DEPOT, LLC",PASSENGER COACH BUS SERVICE
"U.S. CARELINK, INC.",HEALTHCARE INTERNET CO
"RIDGE CLEARING & OUTSOURCING SOLUTIONS, INC.",CLEARING/EXECUTING SERVICES
U.S. COMMUNICATIONS CORPORATION,CONSULTING; MKTG & SALES
KAPSTONE CONTAINER CORPORATION,MANUFACTURER OF CORRUGATED PRODUCTS
U.S. DAIRY TRADE INC.,EXPORT AGRICULTURAL AND FOOD PRODUCTS
"U.S. DECOR, LLC",IMPORT AND EXPORT OF GOODS AND SERVICES TO AND FROM USA.
AUTONOMY DIGITAL LLC,COMPUTER SOFTWARE AND SERVICES
"U.S. DOOR & BUILDING COMPONENTS, LLC",MANUFACTURE AND INSTALLATION OF STEEL ROLL-UP DOORS AND HALLWAY SYSTEMS.
"U.S. DRAFTING & DETAILING, INC.",DETAILING SERVICES FOR CONSTRUCTION PROJECTS
"U.S. EAST COAST TRADE, LLC",IMPORT CHILDREN'S TOYS AND GAMES.
"U.S. EDGE, INC.",IT
"U.S. ELECTRON, LLC",RESEARCH AND DEVELOPMENT
"U.S. ELITE CAMPS, INC.",ORGANIZE CAMPS
U.S. ENERGY CORPORATION,BROKER SERVICES TO NATURAL GAS & ELECTRIC INDUSTRY
U.S. ENERGY PARTNERS LLC,COMPETITIVE ELECTRIC SUPPLIER
"U.S. ENERGY RECOVERY, LLC",SELL LIGHTING PRODUCTS
U.S. ENVIRONMENTAL RENTAL CORP.,ENVIRONMENTAL RENTAL EQUIPMENT
"U.S. EQUITIES, LIMITED PARTNERSHIP",RENTAL REAL ESTATE
"U.S. FACILITIES, INC.",FACILITIES MANAGEMENT
BARRETTE OUTDOOR LIVING INC.,MANUFACTURE & DISTRIBUTION OF OUTDOOR PRODUCTS
"U.S. FIRE PREVENTION, INC.",SPRINKLER CONTRACTOR
"U.S. FLUE-CURED TOBACCO GROWERS, INC.",TO SHIP TOBACCO PRODUCTS FROM N.C. TO LICENSED WHO
"U.S. FOODS OF STURBRIDGE, INC.",FAST FOOD RESTAURANT
"U.S. FORENSIC, LLC",FORENSIC ENGINEERING
"U.S. FRANCHISE SYSTEMS, INC.",LODGING
"U.S. FUEL, INCORPORATED",COMMERCIAL AND RESIDENTIAL FUEL OIL DELIVERY
U.S. FUNDING INC.,MORTGAGE LENDING
"U.S. FURNITURE WAREHOUSE, INC.",FURNITURE STORE
"U.S. GAS & ELECTRIC, INC.",ENERGY PROVIDER
"U.S. GAS, INC.",PROSPECTIVCE GASOLINE RETAIL
"U.S. GENERAL CONTRACTORS, INC.",GENERAL CONTRACTOR
"PATHOGENETIX, INC.",R&D BIOTECHNOLOGY
"U.S. GLOBAL CONSULTING SOLUTIONS, LLC.",CONSULTING SERVICES
"U.S. HEALTHWORKS HOLDING COMPANY, INC.",MANAGEMENT OF OCCUPATIONAL HEALTHCARE PROVIDERS
U.S. HOME CORPORATION,REAL ESTATE DEVELOPMENT
"LUCIDITY LIGHTS, INC.","LIGHT BULB DEVELOPMENT, MNFT, AND SALE"
U.S. HOME LOANS CORP.,MORTGAGE BROKER
"U.S. HOME PROTECTION, LLC",WARRANTY SERVICES
"U.S. HOTEL SOURCING, LLC",TRAVEL AGENCY
"HOUSETECH, INC.",CONSULTING SERVICES
U.S. IMAGING NETWORK LLC,PROVIDER NETWORK FOR DIAGNOSTIC IMAGING FACILITIES.
U.S. INDEMNITY INSURANCE AGENCY INC.,"U.S. INDEMNITY INSURANCE AGENCY, INC."
U.S. INDUSTRIAL TRUCK INC.,SALES & SERVICE OF MATERIAL HANDLING EQUIPMENT
"U.S. INSPECT, INC.","HOME, BUSINESS, AND COMMERCIAL INSPECTIONS"
"U.S. INSPECT, LLC","RESIDENTIAL, RELOCATION AND COMMERCIAL INSPECTIONS"
U.S. INSTALLATION GROUP INC.,CARPET INSTALLATION
U.S. INSULATION CORP.,SALE AND INSTALLATION OF BUILDING PRODUCTS
"U.S. INSURANCE SERVICES, INC.",PROPERTY AND CASUALTY INSURANCE
"U.S. INTERIORS, INC.",DRYWALL CONTRACTOR
"U.S. INTERNATIONAL MEDIA, LLC",MEDIA MANAGEMENT COMPANY
"U.S. LAB & RADIOLOGY, INC.",MEDICAL LABORATORY
"U.S. LAND TITLE, LLC","REAL ESTATE CLOSINGS, ABSTRACTS, TITLE INSURANCE."
"U.S. LEGAL SUPPORT, INC.",LITIGATION SERVICES.
"U.S. LUMBER GROUP, LLC",LUMBER WHOLESALE AND DELIVERY
"U.S. MAIDS, INC.",CLEANING SERVICES
U.S. MANUFACTURING INC.,MANUFACTURE DUMPSTERS
U.S. MARKETING CORPORATION,INSURANCE SALES SUPPORT
U.S. MAT & RUBBER CORPORATION,MANUFACTURE AND DISTRIBUTE FLOOR MATTS/MATTING
U.S. MEDIA CORP.,"AUDIO VIDEO EQUIPMENT INSTALLATION, SALES & SVC"
"U.S. MEDICAL, INC.",MEDICAL DEVICE MANUFACTURER
"U.S. METAL ROOFING DISTRIBUTORS, INC.",MANUFACTURE & INSTALL STANDING SEAM METAL ROOFING
"U.S. METRO GROUP, INC.",JANITORIAL SERVICES FOR COMMERCIAL BUILDINGS
U.S. MONEY EXPRESS CO.,LICENSED MONEY TRANSMITTER
"U.S. MOTOR GROUP, INC.",ONLINE VEHICLE SALES
"U.S. MULTI FAMILY DIRECT, INC.",US MULTI FAMILY DIRECT INC
"U.S. NEWS & WORLD REPORT, INC.",PRINT AND ONLINE PUBLICATION
"U.S. NORTEK, INC.",LUBRICATION EQUIPMENT AND RELATED PRODUCTS
U.S. NURSING CORPORATION,PROVIDE TEMPORARY HEALTHCARE PERSONNEL
U.S. OCEAN TRADING LLC,TO ENGAGE IN IMPORT AND EXPORT OF DRY GOODS BUSINESS.
"U.S. ORIENTAL MEDICAL SERVICES, INC.",ORIENTAL HEALTH SERVICES & MANAGEMENT
U.S. OUTLET STORES LLC,SALE OF RETAIL APPAREL GOODS
U.S. OUTLET STORES WRENTHAM LLC,RETAIL CLOTHING STORE
"U.S. PACKAGING SPECIALTIES, INC.",MANUFACTURING
U.S. PAVEMENT SERVICES INC.,ASPHALT MAINTENANCE
"U.S. PAVEMENTS, LLC",ASPHALT MAINTENANCE
"U.S. PAYMENTS, LLC",ELECTRONIC BILL PAYMENT PROCESSOR
"U.S. PET NUTRITION, LLC","PRODUCTION, MARKETING, AND SALE OF PET FOOD PRODUCTS."
U.S. PHILIPS CORPORATION,SALES OF COMPUTER MONITOR
"U.S. PIPELINE, INC.",PIPELINE CONSTRUCTION
"U.S. PLAZA, LLC",TO OWN AND MANAGE REAL PROPERTY
U.S. POWER TRADE LLC,OUT-OF-STATE ENERGY BROKER
"U.S. PROFESSIONAL RUGBY INITIATIVE, LLC",SPORTS ENTERTAINMENT
"ENERGY TRANSFER PARTNERS, L.L.C.",TO ACT AS THE GENERAL PARTNER FOR PARTNERSHIPS IN THE NGL PIPELINE TRANSPORA
"ENERGY TRANSFER PARTNERS GP, L.P.",TO ACT AS THE GENERAL PARTNER OF A PARTNERSHIP IN THE NGL PIPELINE TRANSPORT
"U.S. PROPERTIES, INC.",PROPERTY MANAGEMENT
"U.S. PROPERTY MANAGEMENT ENTERPRISE, INC.",PROPERTY MANAGEMENT
"U.S. PROPERTY MANAGEMENT, LLC",OWN COMMERCIAL REAL ESTATE
"U.S. PROVINCE OF THE RELIGIOUS OF JESUS AND MARY, INC.","RELIGIOUS, CHARITABLE, AND EDUCATIONAL ACTIVITIES"
U.S. REAL ESTATE INVESTMENT FUND NON-,REAL ESTATE
"U.S. REAL ESTATE INVESTMENT FUND REIT, INC.",REAL ESTATE
"U.S. REAL ESTATE INVESTMENT FUND REIT,",MAKING INVESTMENTS IN REAL ESTATE ASSETS AND TO PROVIDE AND TO CARRY ON ANY
"U.S. REALTY 86-NEW BEDFORD, LLC",COMMERCIAL REAL ESTATE
"U.S. REALTY ADVISORS, LLC","INVESTOR IN LIMITED LIABILITY COMPANY, MEMBER OF WHICH IS A LIMITED LIABILITY C"
U.S. REALTY CONSULTANTS LLC,REAL ESTATE BROKER AND APPRAISAL SERVICES
"U.S. REALTY DEVELOPMENT, LLC",REAL ESTATE DEVELOPMENT AND MANAGEMENT SERVICES
"U.S. REFLECTOR GROUP, INC.",US REFLECTOR GROUP CONSULTING
U.S. REIF 100 CAMBRIDGE STREET,REAL ESTATE INVESTMENT
U.S. REIF 111 LOCKE DRIVE MASSACHUSETTS,REAL ESTATE INVESTMENT
"U.S. REIF 111 LOCKE DRIVE MASSACHUSETTS,","THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
U.S. REIF 281 WINTER STREET,"THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
"U.S. REIF BRIGHAM SQUARE MASSACHUSETTS,","THE GENERAL CHARACTER OF THE COMPANY'S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
U.S. REIF CENTRAL PLAZA MASSACHUSETTS,"TO ACT AS MANAGER TO U.S. REIF CENTRAL PLAZA MASSACHUSETTS, LLC."
"U.S. REIF CENTRAL PLAZA MASSACHUSETTS,","THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
"U.S. REIF MARINE NANTUCKET FEE, LLC","THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, OPERAT"
U.S. REIF WATERMARK EAST VILLAGE PLACE,"THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
"U.S. REIF WATERMARK VENTURE, LLC","THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
U.S. REIF WATERMILL CENTER,"THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
U.S. REIF WEYMOUTH WOODS,"THE GENERAL CHARACTER OF THE COMPANY’ S BUSINESS IS TO ACQUIRE, OWN, DEVELO"
"U.S. REMODELERS, INC.",HOME IMPROVEMENT
U.S. RENAL CARE INC.,OWN AND MANAGE DIALYSIS CLINICS; PROCESS PAYROLL
"U.S. RESTORATION & REMODELING, INC",RESTORATION CONSULTING
"U.S. RISK OF CALIFORNIA, INC.","INSURANCE AGENTS, BROKERS, AND SERVICE"
"U.S. RISK OF VIRGINIA, LLC","INSURANCE AGENTS, BROKERS, AND SERVICE"
"U.S. RISK, INC.","INSURANCE AGENTS, BROKERS, AND SERVICE"
"U.S. RISK, LLC",INSURANCE SERVICES
"U.S. ROADS, LLC",ROAD PAVING
U.S. ROUTE 6 TOURIST ASSOCIATION,NOT-FOR-PROFIT IRS 501 (C) (3) PUBLIC CHARITY
U.S. SATELLITE CORPORATION,OPERATING COMPANY - TELECOMMUNICATIONS
"NTT DATA SERVICES, LLC",COMPUTER SYSTEM SERVICES
"U.S. SHEETER SUPPLY COMPANY, INC.",MAIL ORDER PARTS SERVICE
"U.S. SHEETMETAL, INC.",METAL FABRICATION
"U.S. SLEEP, INC.",HEALTHCARE EQUIPMENT & CONSULTING
U.S. SLIDE FASTENER CORP.,"RESELLERS OF ZIPPERS, NOTIONS, HOOK AND LOOP"
U.S. SMOKELESS TOBACCO COMPANY LLC,MANUFACTURER OF MOIST SMOKELESS TOBACCO PRODUCTS.
"U.S. SOCIAL EVENTS, LLC","ANY LAWFUL PURPOSE, INCLUDING BUT NOT LIMITED TO PUTTING ON EVENTS."
"U.S. SOUTH COMMUNICATIONS, INC.",TELECOMMUNICATIONS RESELLER
BOSTON BEST COACH INC.,SHUTTLE
U.S. SURGICAL ENDOSCOPY CORP.,REPAIR OF SURGICAL INSTRUMENTS
"U.S. TAE KWON DO CENTER, INC.",MARTIAL ARTS TAEKWONDO INSTRUCTION
"U.S. TASTY PRODUCTS, INC.",OPERATE A FOOD EXPORT BUSINESS
"U.S. TELECOM LONG DISTANCE, INC.",LONG DISTANCE RESELLER
U.S. TELEPACIFIC CORP.,PROVIDE TELECOMMINICATION SERVICES
"ACADEMI TRAINING CENTER, INC.",SECURITY TRAINING AND LOGISTICS SERVICES
"U.S. TSUBAKI AUTOMOTIVE, LLC","MANUFACTURE, DISTRIBUTION AND SALE OF AUTOMOTIVE POWER TRANSMISSION PROD"
"U.S. TSUBAKI POWER TRANSMISSION, LLC","MANUFACTURE, DISTRIBUTION AND SALE OF INDUSTRIAL POWER TRANSMISSION PRODU"
"U.S. VALIDATION SERVICES, INC.","US VALIDATION SERVICES, INC."
"U.S. VENTURE, INC.",WHOLESALE DISTRIBUTION ENERGY &AUTOMOTIVE PRODUCTS
"U.S. VENTURES, LLC",COMMERCIAL REAL ESTATE RENTAL
"U.S. WASTE INDUSTRIES, INC.",HAZARDOUS WASTE BROKER
"UNITED WATER CONTRACT SERVICES, LLC",WATER AND WASTWATER CONTRACT OPERATIONS AND CONSULTING
"U.S. WATER SERVICES, INC.",OUR MAIN OPERATING ENTITY
"U.S. WEALTH MANAGEMENT, INC.",FINANCIAL SERVICES
"U.S. WEATHERIZATION, INC.",CONSTRUCTION AND WEATHERIZATION
"U.S. WEB HOLDINGS, LLC",DOMAIN NAME HOLDING COMPANY; PERFORMS INTERNET SERVICES REGARDING SALES
"U.S. WICK DRAIN, INC.",SPECIALTY SUBCONTRACTOR
