ID,Issue Date,Status,Location,Latitude,Longitude,Short Term Rental Type,Property Type,Property Type Additional Description,Condo Association,Total Bedrooms,Rented Bedrooms,Maximum Renter Capacity,Kitchen,Bathrooms,Airbnb,HomeAway,FlipKey,VRBO,Craigslist,Couch Surfing,Boston Rentals,Other,Other Platform Descriptions,All Rental Services
14643,July 11 2018,Complete,"149 Walden St
Cambridge, MA 02140
(42.387366, -71.12771)",42.3874,-71.1278,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,2,3,Yes,1,TRUE,,,,,,,,,Airbnb
13862,March 19 2019,Complete,"81 Kirkland St
Cambridge, MA 02138
(42.377864, -71.108306)",42.378,-71.1084,This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,1,2,No,1,TRUE,,,,,,,,,Airbnb
14807,April 26 2018,Complete,"322 Pearl St
Cambridge, MA 02139
(42.356877, -71.111068)",42.3569,-71.111,This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,2,3,No,1,TRUE,,,,,,,,,Airbnb
13682,April 03 2018,Complete,"80 Normandy Ave
Cambridge, MA 02138
(42.394116, -71.155588)",42.3942,-71.1556,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,4,Yes,1,TRUE,,,TRUE,,,,,,"Airbnb, VRBO"
30910,February 06 2019,Complete,"116 Henry St
Cambridge, MA 02139
(42.356637, -71.110903)",42.3566,-71.111,This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,4,8,Yes,2,TRUE,,,,,,,,,Airbnb
14729,April 29 2019,Complete,"283 Sidney St
Cambridge, MA 02139
(42.355668, -71.107766)",42.3557,-71.1078,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,1,2,Yes,1,TRUE,,,,,,,,,Airbnb
13885,April 13 2020,Complete,"12 Tremont St
Cambridge, MA 02139
(42.369617, -71.099447)",42.3696,-71.0993,This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,TRUE,,TRUE,,,,,,,"Airbnb, FlipKey"
14730,April 09 2019,Complete,"620 Cambridge St
Cambridge, MA 02141
(42.371875, -71.086571)",42.3718,-71.0867,This application is for an OPERATOR-OCCUPIED short-term rental,Other,4 units dwelling owned by same owner,No,2,1,2,Yes,1,TRUE,,,,,,,,,Airbnb
14035,April 05 2018,Complete,"80 Sixth St
Cambridge, MA 02141
(42.369065, -71.085406)",42.369,-71.0853,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,3,Yes,1,TRUE,,,,,,,,,Airbnb
50860,July 15 2019,Complete,"70 Reed St
Cambridge, MA 02140
(42.395423, -71.132141)",42.3954,-71.1322,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,3,Yes,1,TRUE,,,,,,,,,Airbnb
11735,March 26 2018,Complete,"31-A Inman St
Cambridge, MA 02139
(42.368165, -71.104242)",42.3682,-71.1043,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,2,Yes,1,TRUE,,,,,,,,,Airbnb
62029,January 10 2020,Complete,"28 Royal Ave
Cambridge, MA 02138
(42.382165, -71.132477)",42.3822,-71.1324,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,3,5,Yes,1,TRUE,,,,,,,,,Airbnb
13751,June 24 2019,Complete,"161 Raymond St
Cambridge, MA 02140
(42.388156, -71.127985)",42.3882,-71.1279,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,2,1,4,Yes,1,TRUE,,,,,,,,www.sabbaticalhomes.com,Airbnb
20171,January 03 2020,Complete,"195 Grove St
Cambridge, MA 02138
(42.383593, -71.158634)",42.3838,-71.1584,This application is for an OWNER-ADJACENT short-term rental,Single-family detached dwelling,,No,8,2,5,Yes,7,TRUE,,,,,,,,,Airbnb
46428,May 16 2019,Complete,"195 Erie St
Cambridge, MA 02139
(42.36024, -71.107973)",42.3603,-71.1079,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,4,Yes,1,TRUE,,,,,,,,,Airbnb
12096,March 19 2019,Complete,"13 Tremont St
Cambridge, MA 02139
(42.369397, -71.099601)",42.3695,-71.0997,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,6,Yes,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Bed and Breakfast Associate Bay Colony, bnbboston.com","Airbnb, HomeAway, FlipKey, VRBO, Craigslist, Couch_Surfing, Boston_Rentals, Bed and Breakfast Associate Bay Colony, bnbboston.com"
53564,August 26 2019,Complete,"9 Remington St
Cambridge, MA 02138
(42.371153, -71.113432)",42.3712,-71.1135,This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,2,2,4,No,1,TRUE,,,,,,,,,Airbnb
13681,March 26 2020,Complete,"74 Ellery St
Cambridge, MA 02138
(42.373139, -71.109454)",42.3731,-71.1093,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,4,3,6,No,3,,,,,,,,TRUE,"eviivo, Parkside (GoDaddy Host) TripAdvisor, Bay Colony Associates, Expedia, Hotel.com","eviivo, Parkside (GoDaddy Host) TripAdvisor, Bay Colony Associates, Expedia, Hotel.com"
14591,March 15 2019,Complete,"93 Third St
Cambridge, MA 02141
(42.36992, -71.080102)",42.37,-71.0802,This application is for an OWNER-ADJACENT short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,1,1,2,Yes,1,TRUE,,,,,,,,,Airbnb
62339,March 09 2020,Complete,"81 Sixth St
Cambridge, MA 02141
(42.368823, -71.085461)",42.3688,-71.0855,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,2,9,Yes,1,TRUE,,,,,,,,,Airbnb
13863,April 16 2019,Complete,"20 Forest St
Cambridge, MA 02140
(42.3852, -71.116461)",42.3851,-71.1165,This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,3,2,2,Yes,2,TRUE,,,,,,,,,Airbnb
18602,January 06 2020,Complete,"191 Mt Auburn St
Cambridge, MA 02138
(42.374587, -71.128748)",42.3747,-71.1287,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,1,3,Yes,1,TRUE,,,,,,,,,Airbnb
30438,April 16 2019,Complete,"13 Hunting St
Cambridge, MA 02141
(42.373127, -71.091044)",42.3731,-71.0911,This application is for an OPERATOR-OCCUPIED short-term rental,Other,There are 6 units in the building,No,2,2,4,Yes,1,TRUE,,,,,,,,,Airbnb
13943,April 10 2018,Complete,"340 Putnam Ave
Cambridge, MA 02139
(42.361439, -71.113402)",42.3616,-71.1133,This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,2,2,4,Yes,1,TRUE,,,,,,,,,Airbnb
59485,November 07 2019,Complete,"13 Sargent St
Cambridge, MA 02140
(42.392712, -71.131983)",42.3927,-71.1321,This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,3,2,4,No,2,TRUE,TRUE,,,,,TRUE,,,"Airbnb, HomeAway, Boston_Rentals"
13347,March 27 2018,Complete,"48 Seventh St
Cambridge, MA 02141
(42.371433, -71.085608)",42.3714,-71.0855,This application is for an OPERATOR-OCCUPIED short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,3,2,3,Yes,1,TRUE,,,,,,,,,Airbnb
13495,March 27 2018,Complete,"133 Chestnut St
Cambridge, MA 02139
(42.35736, -71.110063)",42.3574,-71.1099,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,3,7,Yes,2.5,TRUE,,,,,,,,,Airbnb
15094,May 15 2019,Complete,"36-A Dana St
Cambridge, MA 02138
(42.371689, -71.109027)",42.3716,-71.109,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,2,6,Yes,2,TRUE,,,,,,,,,Airbnb
67341,March 04 2020,Complete,"6 Forest St
Cambridge, MA 02140
(42.385305, -71.118277)",42.3852,-71.1183,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,3,6,No,1,TRUE,,,,,,,,,Airbnb
13728,March 27 2018,Complete,"63 Pearl St
Cambridge, MA 02139
(42.363246, -71.104182)",42.3634,-71.1043,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,1,1,2,Yes,1,TRUE,TRUE,,,,,,,,"Airbnb, HomeAway"
17249,July 12 2019,Complete,"73 Plymouth St
Cambridge, MA 02141
(42.368985, -71.093748)",42.3691,-71.0938,This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,3,6,Yes,1,TRUE,,,,,,,,,Airbnb
13319,March 15 2019,Complete,"11 Market St
Cambridge, MA 02139
(42.366969, -71.094108)",42.3671,-71.094,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,1,1,3,Yes,1,,,,,,,,TRUE,Bed &amp; Breakfast Associates,Bed &amp; Breakfast Associates
14764,March 25 2019,Complete,"372-A Broadway
Cambridge, MA 02139
(42.370902, -71.105017)",42.3708,-71.1051,This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,6,3,8,Yes,1.5,TRUE,,,,,,,,,Airbnb
15178,May 02 2018,Complete,"305 Washington St
Cambridge, MA 02139
(42.365251, -71.098097)",42.3653,-71.0981,This application is for an OPERATOR-OCCUPIED short-term rental,Other,6 family apartment building&nbsp;,No,3,2,2,Yes,1,TRUE,,,,,,,,,Airbnb
13415,April 09 2019,Complete,"250 Broadway
Cambridge, MA 02139
(42.367356, -71.096038)",42.3673,-71.0961,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,3,3,6,Yes,2,TRUE,,,,,,,,,Airbnb
13895,November 21 2019,Complete,"2 Lamson Pl
Cambridge, MA 02139
(42.367181, -71.101134)",42.3672,-71.1011,This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,1,1,3,Yes,1,TRUE,,,,,,,,,Airbnb
46141,July 03 2019,Complete,"44-A Cottage St
Cambridge, MA 02139
(42.363612, -71.107596)",42.3635,-71.1078,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,4,Yes,1,TRUE,,,,,,,,,Airbnb
55534,October 24 2019,Complete,"28 Pleasant St
Cambridge, MA 02139
(42.364657, -71.107469)",42.3646,-71.1074,This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,2,2,2,Yes,1,TRUE,,,,,,,,,Airbnb
66523,March 12 2020,Complete,"62 Granville Rd
Cambridge, MA 02138
(42.383359, -71.135933)",42.3834,-71.1358,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,Yes,2,2,5,Yes,1,TRUE,,,,,,,,,Airbnb
13696,March 26 2018,Complete,"284 Harvard St
Cambridge, MA 02139
(42.369275, -71.104516)",42.3692,-71.1045,This application is for an OPERATOR-OCCUPIED short-term rental,Other,Multi-dwelling of a 37-unit Condominium,Yes,3,2,2,Yes,2,TRUE,,,,,,,,,Airbnb
13904,August 06 2018,Complete,"63 Sacramento St
Cambridge, MA 02138
(42.382595, -71.113622)",42.3827,-71.1136,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,5,4,10,Yes,3,TRUE,,,,,,,,,Airbnb
31824,June 06 2019,Complete,"18 Plymouth St
Cambridge, MA 02141
(42.368631, -71.091404)",42.3686,-71.0915,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,4,Yes,1,TRUE,,,,,,,,,Airbnb
14917,April 04 2019,Complete,"272 Huron Ave
Cambridge, MA 02138
(42.381498, -71.134846)",42.3814,-71.1348,This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,2,1,2,Yes,1,TRUE,,,,,,,,,Airbnb
12123,May 28 2019,Complete,"70 Griswold St
Cambridge, MA 02138
(42.392806, -71.156051)",42.3928,-71.1559,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,1,1,Yes,1,TRUE,,,,,,,,,Airbnb
16221,December 04 2018,Complete,"285 Third St
Cambridge, MA 02142
(42.364905, -71.082869)",42.365,-71.083,This application is for an OPERATOR-OCCUPIED short-term rental,Other,Single-family apartment,No,1.5,1.5,1,Yes,1,TRUE,,,,,,,,,Airbnb
63143,January 16 2020,Complete,"351 Pearl St
Cambridge, MA 02139
(42.356217, -71.111784)",42.3563,-71.1119,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,4,Yes,1,TRUE,,,,,,,,,Airbnb
13655,February 21 2020,Complete,"17 Traymore St
Cambridge, MA 02140
(42.384115, -71.115053)",42.3841,-71.1151,This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,2,2,5,Yes,1,TRUE,,,,,,,,,Airbnb
15230,June 11 2018,Complete,"94 Reed St
Cambridge, MA 02140
(42.395977, -71.132169)",42.396,-71.1323,This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,2,2,Yes,2,TRUE,,,,,,,,,Airbnb
